Size,Ntrial,AvgTestAcc,AvgTrainAcc,AvgConfMatrix,Config
0.3,1,0.6421621621621622,0.660759493670886,[[56.6 28.4] [37.8 62.2]],identity_lbfgs_adaptive_(50,)
0.3,1,0.6821621621621622,0.739240506329114,[[63.2 21.8] [37.  63. ]],identity_lbfgs_adaptive_(50, 50)
0.3,1,0.6594594594594595,0.7139240506329114,[[70.2 14.8] [48.2 51.8]],identity_lbfgs_adaptive_(100,)
0.3,1,0.4594594594594595,0.4936708860759494,[[ 85.   0.] [100.   0.]],identity_sgd_constant_(50,)
0.3,1,0.4594594594594595,0.4936708860759494,[[ 85.   0.] [100.   0.]],identity_sgd_constant_(50, 50)
0.3,1,0.4594594594594595,0.4936708860759494,[[ 85.   0.] [100.   0.]],identity_sgd_constant_(100,)
0.3,1,0.6270270270270271,0.6987341772151898,[[61.2 23.8] [45.2 54.8]],identity_sgd_invscaling_(50,)
0.3,1,0.4594594594594595,0.4936708860759494,[[ 85.   0.] [100.   0.]],identity_sgd_invscaling_(50, 50)
0.3,1,0.6162162162162163,0.6531645569620254,[[58.8 26.2] [44.8 55.2]],identity_sgd_invscaling_(100,)
0.3,1,0.4594594594594595,0.4936708860759494,[[ 85.   0.] [100.   0.]],identity_sgd_adaptive_(50,)
0.3,1,0.4594594594594595,0.4936708860759494,[[ 85.   0.] [100.   0.]],identity_sgd_adaptive_(50, 50)
0.3,1,0.4594594594594595,0.4936708860759494,[[ 85.   0.] [100.   0.]],identity_sgd_adaptive_(100,)
0.3,1,0.625945945945946,0.7037974683544304,[[61.4 23.6] [45.6 54.4]],identity_adam_constant_(50,)
0.3,1,0.6475675675675676,0.6810126582278481,[[66.4 18.6] [46.6 53.4]],identity_adam_constant_(50, 50)
0.3,1,0.5956756756756757,0.6582278481012659,[[74.4 10.6] [64.2 35.8]],identity_adam_constant_(100,)
0.3,1,0.625945945945946,0.7037974683544304,[[61.4 23.6] [45.6 54.4]],identity_adam_invscaling_(50,)
0.3,1,0.6475675675675676,0.6810126582278481,[[66.4 18.6] [46.6 53.4]],identity_adam_invscaling_(50, 50)
0.3,1,0.5956756756756757,0.6582278481012659,[[74.4 10.6] [64.2 35.8]],identity_adam_invscaling_(100,)
0.3,1,0.625945945945946,0.7037974683544304,[[61.4 23.6] [45.6 54.4]],identity_adam_adaptive_(50,)
0.3,1,0.6475675675675676,0.6810126582278481,[[66.4 18.6] [46.6 53.4]],identity_adam_adaptive_(50, 50)
0.3,1,0.5956756756756757,0.6582278481012659,[[74.4 10.6] [64.2 35.8]],identity_adam_adaptive_(100,)
0.3,1,0.6086486486486486,0.6810126582278481,[[70.6 14.4] [58.  42. ]],logistic_lbfgs_constant_(50,)
0.3,1,0.5643243243243243,0.6379746835443038,[[75.8  9.2] [71.4 28.6]],logistic_lbfgs_constant_(50, 50)
0.3,1,0.6378378378378379,0.7215189873417721,[[58.2 26.8] [40.2 59.8]],logistic_lbfgs_constant_(100,)
0.3,1,0.6086486486486486,0.6810126582278481,[[70.6 14.4] [58.  42. ]],logistic_lbfgs_invscaling_(50,)
0.3,1,0.5643243243243243,0.6379746835443038,[[75.8  9.2] [71.4 28.6]],logistic_lbfgs_invscaling_(50, 50)
