Size,Ntrial,TestAcc,TrainAcc,ConfMatrix,Config
0.5,5,0.696969696969697,0.7348484848484849,[[58  5] [35 34]],1e-07
0.5,5,0.696969696969697,0.7348484848484849,[[59  4] [36 33]],1e-06
0.5,5,0.7196969696969697,0.696969696969697,[[57  6] [31 38]],1e-05
0.5,5,0.7348484848484849,0.6893939393939394,[[56  7] [28 41]],0.0001
0.5,6,0.7196969696969697,0.7272727272727273,[[47 15] [22 48]],1e-09
0.5,6,0.7272727272727273,0.7272727272727273,[[47 15] [21 49]],1e-08
0.5,6,0.7272727272727273,0.7348484848484849,[[47 15] [21 49]],1e-07
0.5,6,0.7196969696969697,0.75,[[47 15] [22 48]],1e-06
0.5,6,0.7424242424242424,0.7424242424242424,[[49 13] [21 49]],1e-05
0.5,6,0.7575757575757576,0.75,[[52 10] [22 48]],0.0001
0.5,7,0.6893939393939394,0.7727272727272727,[[56  8] [33 35]],1e-09
0.5,7,0.6818181818181818,0.7651515151515151,[[53 11] [31 37]],1e-08
0.5,7,0.6818181818181818,0.75,[[53 11] [31 37]],1e-07
0.5,7,0.6893939393939394,0.7575757575757576,[[54 10] [31 37]],1e-06
0.5,7,0.696969696969697,0.7575757575757576,[[54 10] [30 38]],1e-05
0.5,7,0.7045454545454546,0.7803030303030303,[[52 12] [27 41]],0.0001
0.5,8,0.696969696969697,0.7575757575757576,[[58  6] [34 34]],1e-09
0.5,8,0.6818181818181818,0.7272727272727273,[[54 10] [32 36]],1e-08
0.5,8,0.696969696969697,0.7196969696969697,[[54 10] [30 38]],1e-07
0.5,8,0.6818181818181818,0.7575757575757576,[[53 11] [31 37]],1e-06
0.5,8,0.6818181818181818,0.7727272727272727,[[54 10] [32 36]],1e-05
0.5,8,0.696969696969697,0.75,[[57  7] [33 35]],0.0001
0.5,9,0.696969696969697,0.75,[[52  4] [36 40]],1e-09
0.5,9,0.6818181818181818,0.7348484848484849,[[46 10] [32 44]],1e-08
0.5,9,0.6818181818181818,0.7348484848484849,[[46 10] [32 44]],1e-07
0.5,9,0.6893939393939394,0.7348484848484849,[[47  9] [32 44]],1e-06
