Size,Ntrial,TestAcc,TrainAcc,ConfMatrix,Config
0.3,3,0.5135135135135135,0.574468085106383,[[37 14] [40 20]],21_5
0.3,3,0.5315315315315315,0.574468085106383,[[51  0] [52  8]],26_1
0.3,3,0.4864864864864865,0.5531914893617021,[[43  8] [49 11]],26_2
0.3,3,0.4864864864864865,0.5531914893617021,[[41 10] [47 13]],26_3
0.3,3,0.4954954954954955,0.5531914893617021,[[41 10] [46 14]],26_4
0.3,3,0.4954954954954955,0.5531914893617021,[[41 10] [46 14]],26_5
0.3,4,0.6216216216216216,1.0,[[34 20] [22 35]],1_1
0.3,4,0.6396396396396397,1.0,[[36 18] [22 35]],1_2
0.3,4,0.6036036036036037,1.0,[[34 20] [24 33]],1_3
0.3,4,0.6216216216216216,1.0,[[36 18] [24 33]],1_4
0.3,4,0.6216216216216216,1.0,[[36 18] [24 33]],1_5
0.3,4,0.5765765765765766,0.6808510638297872,[[38 16] [31 26]],6_1
0.3,4,0.5765765765765766,0.7021276595744681,[[38 16] [31 26]],6_2
0.3,4,0.5855855855855856,0.6808510638297872,[[37 17] [29 28]],6_3
0.3,4,0.5855855855855856,0.6808510638297872,[[37 17] [29 28]],6_4
0.3,4,0.5855855855855856,0.6808510638297872,[[37 17] [29 28]],6_5
0.3,4,0.6216216216216216,0.6595744680851063,[[33 21] [21 36]],11_1
0.3,4,0.5765765765765766,0.6382978723404256,[[32 22] [25 32]],11_2
0.3,4,0.5945945945945946,0.6595744680851063,[[33 21] [24 33]],11_3
0.3,4,0.5855855855855856,0.6808510638297872,[[33 21] [25 32]],11_4
0.3,4,0.5765765765765766,0.6808510638297872,[[32 22] [25 32]],11_5
0.3,4,0.6486486486486487,0.723404255319149,[[40 14] [25 32]],16_1
0.3,4,0.5945945945945946,0.5957446808510638,[[39 15] [30 27]],16_2
0.3,4,0.5945945945945946,0.6170212765957447,[[42 12] [33 24]],16_3
0.3,4,0.5765765765765766,0.5957446808510638,[[42 12] [35 22]],16_4
0.3,4,0.5675675675675675,0.5957446808510638,[[42 12] [36 21]],16_5
0.3,4,0.5855855855855856,0.6808510638297872,[[28 26] [20 37]],21_1
0.3,4,0.5765765765765766,0.6808510638297872,[[23 31] [16 41]],21_2
0.3,4,0.5585585585585585,0.6382978723404256,[[19 35] [14 43]],21_3
0.3,4,0.5585585585585585,0.6382978723404256,[[19 35] [14 43]],21_4
0.3,4,0.5675675675675675,0.6382978723404256,[[19 35] [13 44]],21_5
0.3,4,0.6126126126126126,0.5957446808510638,[[27 27] [16 41]],26_1
0.3,4,0.5495495495495496,0.574468085106383,[[29 25] [25 32]],26_2
0.3,4,0.5405405405405406,0.5957446808510638,[[30 24] [27 30]],26_3
0.3,4,0.5495495495495496,0.574468085106383,[[31 23] [27 30]],26_4
0.3,4,0.5405405405405406,0.574468085106383,[[31 23] [28 29]],26_5
0.3,5,0.6126126126126126,1.0,[[35 17] [26 33]],1_1
0.3,5,0.5945945945945946,1.0,[[36 16] [29 30]],1_2
0.3,5,0.6126126126126126,1.0,[[36 16] [27 32]],1_3
0.3,5,0.6036036036036037,1.0,[[35 17] [27 32]],1_4
0.3,5,0.6216216216216216,1.0,[[36 16] [26 33]],1_5
0.3,5,0.5765765765765766,0.723404255319149,[[41 11] [36 23]],6_1
0.3,5,0.5315315315315315,0.7659574468085106,[[38 14] [38 21]],6_2
0.3,5,0.5405405405405406,0.7659574468085106,[[39 13] [38 21]],6_3
0.3,5,0.5585585585585585,0.7659574468085106,[[40 12] [37 22]],6_4
0.3,5,0.5405405405405406,0.7659574468085106,[[39 13] [38 21]],6_5
0.3,5,0.5855855855855856,0.7446808510638298,[[32 20] [26 33]],11_1
